object_id	trip_id
16.461.751-3	IIC11D
21.630.700-3	TPT10E
8.254.611-1	IIC173
15.650.427-k	IIC172
21.791.491-4	IIC042
15.086.405-4	IIC163
19.161.062-8	IIC07E
16.864.801-4	IIC196
9.151.013-8	IIC134
12.612.749-9	IIC131
10.276.698-9	IIC049 IIC04A
15.412.505-1	IIC07D
15.992.635-4	IIC025
12.528.014-5	IIC018
14.740.129-9	IIC04B IIC04C
15.378.066-8	IIC133
12.708.157-3	IIC174
15.657.319-1	IIC03A
12.575.686-7	IIC194
9.181.040-9	IIC08A
7.940.381-4	IIC04E
12.474.195-5	IIC05G
20.216.840-k	IIC163
20.965.660-4	IIC054
14.169.629-7	IIC013
9.059.891-k	IIC045
11.909.209-4	TPT089
12.478.402-6	IIC202
9.112.689-3	IIC05G
7.932.520-1	TPT037 TPT038
10.893.052-7	IIC135
14.233.218-3	IIC195
8.191.050-2	IIC03A
19.566.575-3	IIC07A
17.761.681-8	IIC135
6.977.202-1	IIC206
10.179.925-5	TPT08A
12.748.670-k	TPT069
9.277.962-9	IIC192
20.754.825-1	IIC178
10.692.692-1	IIC207
10.555.210-6	TPT113
19.027.538-8	IIC102
18.586.287-9	IIC165
8.778.999-3	IIC205
10.429.133-3	IIC071
20.767.145-2	IIC105
9.453.432-1	IIC218
5.897.600-8	IIC132
17.570.612-7	IIC05D
18.763.298-6	IIC208
10.863.953-9	IIC044
12.581.784-k	IIC214
21.151.732-8	IIC059
9.955.685-4	IIC06D
5.411.359-5	IIC151
10.903.208-5	IIC166
8.155.643-1	IIC162
16.020.620-9	IIC045
7.540.121-3	IIC036
20.069.124-5	IIC056
14.968.900-1	IIC152
11.506.596-3	IIC04G
9.660.941-8	TPT038
9.166.614-6	IIC215
5.074.315-2	IIC08B
10.867.655-8	IIC121
7.688.660-1	IIC217 IIC11A
20.156.776-9	IIC141
20.977.151-9	IIC202
21.462.015-4	IIC108
6.476.690-2	IIC218
6.870.362-k	IIC09A
11.784.291-6	IIC03B
5.538.430-4	TPT10A
13.784.498-2	IIC128
6.884.783-4	IIC211
12.036.207-k	IIC152
8.555.782-3	IIC07E
17.674.043-4	IIC213 IIC112
16.430.483-3	IIC181
5.462.882-k	IIC194
7.051.019-7	IIC05C
21.459.402-1	IIC172
17.694.351-3	IIC191
9.829.096-6	IIC098
10.198.027-8	IIC022
5.995.239-k	IIC069
20.626.555-8	IIC11F
14.270.610-5	IIC105
6.195.491-k	IIC218
14.830.142-5	IIC192
8.060.143-3	IIC01G
6.824.056-5	IIC184
9.960.914-1	IIC011
19.787.454-6	IIC09E
15.386.221-4	IIC121
11.978.249-k	IIC166
8.024.940-3	TPT036
8.320.012-k	IIC204
21.274.372-k	IIC116
8.986.712-6	IIC212
8.651.066-9	IIC175
9.218.158-8	IIC05E
16.329.009-k	IIC08B
12.982.611-8	IIC108
6.624.029-k	IIC096
16.750.133-8	IIC126
16.213.505-8	IIC206 IIC207
21.671.964-6	IIC151
9.330.583-3	IIC136
21.634.311-5	IIC044
14.734.558-5	IIC09A
20.921.952-2	IIC153
21.943.165-1	IIC217 IIC216
18.304.822-8	IIC082
16.833.566-k	IIC163
21.182.676-2	IIC077
6.500.360-k	IIC097
5.026.682-6	IIC174
9.901.167-k	IIC164
15.904.510-2	TPT10E
8.739.263-5	IIC11D
15.285.368-8	IIC125
19.315.360-7	IIC041
6.086.929-4	IIC213
17.991.812-9	IIC091
13.329.412-k	IIC213
20.472.003-7	IIC164
5.262.056-2	IIC173
7.561.387-3	IIC087
20.059.602-1	IIC208
6.524.660-k	IIC196
16.472.567-7	IIC215
5.424.756-7	IIC09D
14.711.775-2	IIC204
15.713.811-1	IIC102
9.734.145-1	IIC092
15.103.618-k	TPT02B
18.384.515-2	TPT133
12.435.154-5	IIC02G
15.479.546-4	IIC133
14.754.006-k	IIC054
12.379.464-8	TPT02I TPT02H
19.969.890-7	TPT089
9.675.799-9	TPT06D
21.834.078-4	IIC134
18.525.700-2	IIC03E
7.452.205-k	IIC05C
20.894.257-3	IIC198
17.486.517-5	IIC203
13.358.320-3	IIC107
6.527.378-k	IIC119
16.758.962-6	IIC052
18.913.589-k	IIC138
19.650.538-5	IIC04G
8.235.897-8	TPT102
9.678.983-1	IIC06D
9.405.378-1	IIC08A
7.232.424-2	IIC08F
9.519.394-3	IIC201
11.515.793-k	IIC082
20.248.398-4	IIC118
11.307.484-1	IIC152
12.171.638-k	TPT02L
8.449.875-k	IIC09B
5.974.367-8	IIC111
20.607.743-3	IIC183
20.541.390-1	IIC135
18.781.773-k	IIC198
14.754.095-7	IIC08E
17.244.538-1	IIC152 IIC098
6.720.572-3	IIC124
11.419.033-k	IIC168
17.964.870-9	IIC095 IIC151
9.255.017-6	IIC04A
15.161.613-5	IIC133
17.584.611-5	IIC175
20.077.282-2	IIC048
5.675.803-8	IIC203 IIC202
17.900.512-3	IIC128
13.239.847-k	IIC02A
11.706.359-3	IIC173
14.239.554-1	IIC104
15.289.367-1	IIC018 IIC017
8.414.076-7	IIC08G IIC144
11.622.739-8	IIC167
10.145.505-k	IIC195
8.155.529-k	IIC053
13.982.947-6	IIC184
13.815.039-9	IIC206
9.226.092-5	IIC072
17.931.327-8	IIC05B
18.936.699-k	IIC04D
9.523.801-7	IIC031
8.686.832-6	IIC153
6.870.630-k	IIC05E
11.025.034-7	IIC027
17.562.056-7	IIC016
19.504.394-9	IIC069
20.373.045-4	IIC175
14.810.048-9	IIC05A
18.570.713-k	IIC167
11.814.534-8	IIC04E
15.170.318-6	IIC197
11.299.544-7	IIC106
19.822.031-k	IIC122
16.832.999-7	IIC076
12.286.112-k	TPT08G
19.781.471-3	IIC168
10.666.770-5	IIC03B
18.975.144-3	IIC163
13.887.899-6	IIC215
18.739.912-2	TPT034
6.930.349-8	IIC01A
19.142.537-5	IIC128
9.925.953-1	IIC138
14.351.675-k	TPT064 TPT063
18.881.048-9	IIC054
16.097.712-4	IIC194
16.604.676-9	IIC112
21.622.340-3	TPT023 TPT022
12.842.521-7	IIC092
13.408.545-2	IIC174
15.014.834-k	IIC214
7.866.150-k	IIC078
5.879.017-6	IIC136
15.775.133-6	IIC194
14.336.923-4	IIC07D
13.061.296-2	IIC126
19.909.831-4	TPT08A
7.259.708-7	IIC182
10.996.579-k	IIC191
6.558.125-6	IIC171
6.291.787-3	IIC011
18.221.804-9	IIC202
10.717.605-5	IIC044
19.293.566-k	IIC197
18.836.653-8	IIC09F
6.272.520-6	IIC136
9.399.980-k	IIC178
19.831.807-8	IIC203
21.433.005-9	IIC121
13.036.505-1	TPT136
5.971.628-k	IIC11B
18.258.034-1	IIC133
5.615.102-8	IIC094
13.097.467-8	IIC064
16.392.832-9	TPT01G
20.342.708-5	IIC04A
17.024.941-k	IIC036
13.179.241-7	IIC215
7.692.854-1	TPT02A TPT02B
14.076.541-4	IIC03F
13.092.751-3	IIC194
7.459.561-8	IIC138
13.036.977-4	IIC165
19.371.905-8	IIC135
10.067.139-5	IIC03F
8.514.285-2	IIC02B
20.282.843-4	IIC074
10.588.835-k	IIC05A
10.888.230-1	IIC132
17.786.610-5	IIC032
6.696.848-k	IIC192
12.366.567-8	IIC04D
5.645.531-k	IIC192
11.331.537-7	IIC01A
19.115.248-4	IIC125
13.300.878-k	IIC09B
19.291.348-9	TPT014
9.999.526-2	TPT06G
15.404.459-k	IIC177
19.483.806-9	IIC05D
15.751.608-6	IIC08F
6.367.480-k	IIC217 IIC216
20.099.295-4	IIC176
12.476.606-k	IIC205
7.412.912-9	IIC215 IIC11B IIC214
10.056.017-8	IIC082
8.464.322-k	IIC165
6.839.837-1	TPT127
17.205.796-9	TPT062
20.013.154-1	IIC202
10.159.925-6	IIC026
8.002.335-9	TPT122
6.470.369-2	IIC203
14.128.036-8	IIC057
8.875.581-2	IIC141
