name	lastname	rut
Carlos	Lopez	11.255.036-4
Micaela	Moreno	15.161.274-1
Antonella	Alarcon	16.940.684-7
Ariana	Paredes	10.496.627-6
Charles	Contreras	13.107.718-1
Olivia	Campbell	12.819.869-5
Maria	Sanhueza	17.004.385-5
Emma	Castillo	15.188.126-2
Chloe	Valenzuela	8.123.330-6
Alexandra	Diaz	18.523.204-2
Samantha	Orellana	5.058.069-5
Olivia	Alvarez	13.479.388-k
Jacob	Araya	14.099.491-k
Jose	Miranda	19.398.673-k
Mariana	Castillo	20.835.381-k
Maite	Wong	6.777.095-1
Manuela	Leiva	5.107.661-3
Lucas	Salinas	11.673.708-6
Adrian	Salinas	16.760.891-4
Francisco	Godoy	6.986.955-6
Pedro	Patel	5.720.155-k
Jennifer	Salazar	12.438.540-7
Renata	Williams	20.128.577-1
Alexandra	Contreras	16.271.521-6
Rodrigo	Rivera	17.995.971-2
Andrea	Rivera	18.382.698-k
Isabella	Brown	10.846.419-4
Arthur	Vargas	14.523.461-1
Maximiliano	Toro	7.338.279-3
Mary	Gomez	5.052.275-k
Alexander	Garcia	17.861.701-k
Sophie	Bustamante	21.989.257-8
Rafael	Flores	8.539.225-5
Florencia	Flores	12.690.627-7
Sara	Gallardo	7.351.917-9
Ian	Silva	21.550.594-4
Nicole	Parra	7.546.104-6
Santino	Gomez	17.074.286-9
Romina	Moreno	19.023.966-7
Laura	Reyes	11.614.642-8
Antonella	Garcia	19.699.955-8
Maria Jose	Smith	20.265.339-1
Camila	Donoso	10.310.687-7
Martina	Martin	16.672.081-8
Romina	Henriquez	12.244.076-1
Mary	Soto	15.591.980-9
Romina	Lopez	21.982.960-4
Martin	Salinas	20.985.635-2
Miguel	Valdes	11.520.544-7
Maite	Garrido	5.314.986-3
Catalina	Gonzalez	11.595.744-9
Ariana	Riquelme	16.826.529-8
Laura	Vega	17.395.601-k
Juan Jose	Tapia	16.068.591-3
Samuel	Godoy	10.023.228-6
Giovanna	Wong	16.627.116-9
Daniela	Gomez	12.242.723-4
Sofia	San Martin	5.304.427-1
Daniel Alejandro	Fernandez	8.277.696-6
Tomas	Vargas	17.076.219-3
Barbara	Diaz	20.289.662-6
Vicente	Reyes	6.378.889-9
Patricia	Gomez	19.593.604-8
Sara	Tapia	21.961.107-2
Leonardo	Campos	20.013.251-3
Santino	Sandoval	6.922.289-7
Jesus	Taylor	12.170.608-3
Juan	Moreno	15.065.378-9
Jesus	Castro	9.881.967-3
Renata	Figueroa	13.808.372-1
Olivia	Fernandez	17.585.576-9
Micaela	Jones	12.820.204-8
Matias	Soto	8.661.369-7
Florencia	Espinoza	13.550.633-8
Cristobal	Vidal	19.993.238-1
Lucia	Rivera	19.211.541-8
Jesus	San Martin	20.152.925-5
Mia	Fernandez	15.640.479-9
Juan	Alarcon	8.220.113-k
Ava	Castillo	6.337.840-2
Benjamin	Silva	20.763.057-8
Mary	Rivera	11.197.964-2
Manuela	Gutierrez	19.240.961-6
Luciana	Riquelme	20.172.954-8
Joaquin	Hernandez	21.281.820-8
Joseph	Reyes	13.133.889-9
Florencia	Castillo	12.503.486-1
Sofia	Alarcon	9.480.956-8
James	Escobar	5.862.323-7
Thomas	Araya	15.045.940-k
Fernanda	Leiva	15.934.288-3
Micaela	Paredes	13.891.693-6
Daniel	Smith	18.237.833-k
Iker	Saavedra	12.036.812-5
Susan	Fernandez	21.728.223-3
Santiago	Bravo	7.284.734-2
Gabriel	Thompson	15.590.317-1
Lucas	Paredes	19.238.787-6
Florencia	Jimenez	20.672.185-5
Jose	Saez	10.477.981-6
Daniel	Valenzuela	11.999.414-4
Alice	Salazar	16.401.097-k
Haley	Gallardo	6.132.344-9
Daniel	Ruiz	11.476.394-2
Maria Jose	Diaz	21.528.975-3
Lautaro	Cardenas	14.618.487-1
Robert	Campbell	20.766.563-k
Victoria	Martin	15.942.989-k
Sophie	Vargas	11.294.896-1
Andres Felipe	Salazar	17.445.176-1
Iker	Pizarro	5.289.630-4
Patricia	Leiva	9.617.002-5
Sara	Figueroa	11.316.423-9
Olivia	San Martin	6.335.413-9
Alice	Gonzalez	17.105.131-2
Haley	Herrera	18.735.974-k
Mariana	Alvarado	11.965.615-k
Jesus	Castro	8.015.675-8
Samantha	Venegas	15.836.855-2
Thomas	Palma	15.628.956-6
Maria	Toro	15.168.010-k
Mateo	Bravo	7.561.044-k
Juan David	Vasquez	10.668.366-2
Maria Jose	Toro	5.380.519-1
Rodrigo	Carrasco	9.841.596-3
Alma	Saez	14.917.547-4
Jose	Alvarez	16.520.348-8
Florencia	Miranda	8.115.138-5
Barbara	Escobar	18.048.984-3
Maria	Flores	11.074.038-7
Samuel	Gallardo	17.484.857-2
Margaret	Gutierrez	9.877.319-3
Carlos	Patel	12.870.197-4
Laura	Alarcon	21.235.439-2
Robert	Alvarado	16.319.097-4
Maria	Gutierrez	5.387.233-6
Sofia	Fuentes	6.392.222-6
Daniel	Cardenas	9.533.847-k
Jose	Navarro	15.077.287-7
Ana Paula	Williams	20.722.093-k
Sofia	Jones	20.273.016-7
Micaela	Sanhueza	18.438.633-k
Ava	Silva	16.205.171-7
Santino	Rivera	19.380.331-8
Sophie	Gonzalez	11.174.812-8
Susan	Navarrete	18.477.415-1
Haley	Ramirez	12.640.690-8
Beatriz	Rojas	5.112.047-7
Nicolas	Gonzalez	21.859.875-7
Cristobal	Fuentes	14.142.977-9
Bruno	Wilson	13.606.209-3
Daniel	Miranda	13.277.241-k
Ian	Alvarado	8.857.813-9
Andres Felipe	Ruiz	20.780.644-7
Michael	Molina	19.133.161-3
Margaret	Saavedra	18.977.337-4
Sara	Guzman	10.222.696-8
Lucia	Herrera	14.036.400-2
Jacob	Olivares	8.262.992-k
Michael	Bustamante	18.299.585-1
Laura	Valdes	9.284.233-9
Jesus	Jimenez	14.038.299-k
Ian	Taylor	21.405.887-1
Lautaro	Espinoza	17.851.120-3
David	Guerrero	21.475.176-3
Bruno	Cortes	19.313.401-7
Beatriz	Fernandez	13.676.137-4
Florencia	Vasquez	7.474.078-2
Samuel	Jara	7.849.465-4
Luis	Tapia	12.903.198-k
Giovanna	Sanchez	19.838.707-k
Nicole	Riquelme	11.639.302-6
Ava	Campbell	21.309.374-6
Sofia	Figueroa	11.643.068-1
Luz	Fuentes	16.920.750-k
Mia	Romero	12.618.954-k
Matias	Torres	15.446.862-5
Ariana	Godoy	6.093.704-4
Manuela	Martin	14.707.556-1
Sara	Patel	21.464.729-k
Valeria	Farias	11.726.390-8
Olivia	Espinoza	12.230.928-2
Maria	Castro	14.029.990-1
Jesus	Silva	8.249.138-4
Samantha	Wong	16.202.818-9
Haley	Salazar	18.975.144-3
Micaela	Martinez	13.766.807-6
Santiago	Pino	13.538.118-7
Susan	Gonzalez	20.157.390-4
Francisco	Salinas	5.877.485-5
Jacob	Cardenas	18.824.919-1
Daniel	Miranda	8.492.725-2
Sofia	Ruiz	12.983.858-2
Emma	Rojas	7.925.463-k
Antonella	Flores	14.072.325-8
Vicente	Venegas	20.762.487-k
Emma	Patel	7.689.826-k
Jose	Lagos	11.513.516-3
Juan David	Godoy	11.584.125-4
Sophia	Figueroa	15.183.729-8
Antonella	Campbell	6.165.609-k
Bernardo	Perez	12.730.110-7
Santino	Morales	19.319.781-7
Cristobal	Donoso	12.950.791-8
Richard	Lagos	6.189.079-3
Camila	Maldonado	19.970.815-5
Lucas	Bravo	13.210.209-k
Robert	Reyes	5.574.993-k
Leonardo	Ramirez	14.351.006-9
Mary	Saavedra	7.716.917-2
Fernanda	Caceres	14.698.354-5
Joaquin	Aguilera	7.365.533-1
Joaquin	Caceres	17.023.199-6
Daniela	Fuentes	5.943.230-3
William	Salinas	8.136.283-1
Camila	Caceres	16.938.155-k
William	Soto	19.180.380-9
Regina	Orellana	13.269.554-7
Regina	Parra	20.234.715-k
Matias	Bravo	14.745.245-4
Charles	Jones	12.440.039-2
Maria	Smith	7.650.593-4
Adrian	Romero	19.201.501-4
Felipe	Valenzuela	16.724.667-2
Daniel Alejandro	Hernandez	5.071.306-7
John	Jimenez	7.812.421-k
Daniel	Carvajal	17.535.639-8
Lily	Farias	20.758.312-k
Ximena	Garcia	18.539.308-9
Juan Andres	Brown	11.866.910-k
Fernanda	Salazar	12.886.615-9
Victoria	Reyes	9.073.404-k
Robert	Tapia	14.937.910-k
Regina	Vera	16.561.116-k
Lucas	Molina	8.665.495-4
Andres Felipe	Sanchez	9.406.335-3
Ana Paula	Guerrero	15.767.575-3
Barbara	Brown	7.690.898-2
Ian	Farias	11.147.861-9
William	Moreno	7.651.265-5
Mateo	Donoso	14.968.900-1
Jose	Gallardo	20.631.580-6
Michael	Ramirez	8.995.155-k
Olivia	Palma	8.279.962-1
Lautaro	Gutierrez	8.795.477-3
Emma	Sanhueza	18.588.413-9
Olivia	Alarcon	6.762.982-5
Agustin	Brown	8.858.158-k
Vicente	Flores	9.831.196-3
Beatriz	Vasquez	7.478.819-k
Micaela	Alvarez	16.377.712-6
James	Taylor	18.775.378-3
Pedro	Lopez	11.121.646-k
Maria	Pizarro	19.592.934-3
Giovanna	Donoso	11.896.551-5
Catalina	San Martin	7.964.689-k
Robert	Gutierrez	6.731.749-1
Maite	Flores	15.166.671-k
Alice	Araya	12.567.251-5
Angel	Cardenas	21.870.498-k
Miguel	Lee	18.022.743-1
Micaela	Reyes	8.597.356-8
Carlos	Riquelme	10.024.654-6
Olivia	Rodriguez	20.923.525-k
Mary	Vasquez	5.251.368-5
Sebastian	Flores	17.484.739-8
Michael	Garrido	15.669.792-3
William	Ramirez	5.257.463-3
Charles	Guzman	13.362.370-1
Beatriz	Aguilera	20.102.604-k
Valentina	Henriquez	20.230.526-1
Sebastian	Leiva	7.319.804-6
Alice	Lee	15.135.451-3
Valentina	Alvarez	7.558.247-1
Maria	Espinoza	14.099.039-6
Juan Jose	Romero	21.836.153-6
Alice	Fernandez	20.109.219-1
Bernardo	Alarcon	14.513.397-1
Miguel	Aguilera	12.953.976-3
Antonella	Sanhueza	5.820.136-7
Joseph	Cardenas	5.565.631-2
Thomas	San Martin	20.984.404-4
Arthur	Ortega	14.517.434-1
Laura	Gallardo	13.787.810-k
Alejandro	Morales	7.347.899-5
Florencia	Farias	18.838.690-3
Sophie	Riquelme	10.898.572-k
Camila	Aravena	19.254.468-8
Emilia	Contreras	19.479.434-7
Richard	Moreno	7.663.703-2
John	Araya	7.741.685-4
Rafael	Vera	20.322.953-4
Bruno	Martin	10.409.325-6
Agustina	Medina	7.066.023-7
Sophia	Olivares	18.397.236-7
Mariana	Ortiz	5.285.639-6
Luz	Garrido	21.695.107-7
Olivia	Martin	8.763.666-6
Vicente	Tapia	13.842.745-5
Benjamin	Romero	11.160.198-4
Sofia	Miranda	12.188.335-k
Tomas	Garcia	20.103.511-2
Arthur	Castro	17.435.284-4
Benjamin	Vergara	9.811.972-8
Valeria	Sepulveda	11.723.294-8
Alejandro	Lee	20.354.717-k
Chloe	Patel	20.087.184-7
Lucia	Toro	15.627.522-k
Rodrigo	Navarrete	14.336.133-k
Emilia	Vasquez	16.466.423-6
Emily	Gutierrez	6.566.939-k
Alma	Orellana	13.861.616-9
Manuela	Tapia	8.634.019-4
Gabriela	Bravo	11.005.961-2
Juan David	Bravo	9.205.985-5
Nicole	Guerrero	20.845.607-5
Bernardo	Sanchez	16.793.491-9
Valeria	Saez	5.601.774-7
John	Fuentes	18.711.865-4
Amanda	Fernandez	15.650.902-7
Ana Paula	Vargas	14.711.775-2
Sara	Vergara	17.136.075-7
Victoria	Sepulveda	7.622.580-k
Tomas	Morales	7.631.448-9
Thomas	Cardenas	6.858.623-2
Juan	Hernandez	9.948.667-8
Lucas	Jimenez	11.190.982-2
Jacob	Jimenez	7.365.524-2
William	Taylor	20.842.698-2
Joseph	Lagos	21.318.605-1
Sophie	Ramirez	7.290.231-9
Manuela	Medina	20.930.117-2
Juan David	Silva	10.917.263-4
Rodrigo	Rodriguez	13.677.305-4
Mary	Donoso	21.504.658-3
Santino	Donoso	16.929.318-k
Manuela	Cardenas	17.088.537-6
Gabriel	Ortiz	9.898.657-k
Benjamin	Henriquez	11.660.124-9
Emma	Donoso	6.504.964-3
Adrian	Espinoza	12.567.119-5
Lautaro	Rojas	17.027.332-k
Maria	Ortiz	14.648.970-2
Alice	Salinas	12.701.354-3
Maria	Guerrero	15.061.271-3
James	Farias	11.675.072-4
Juan	Orellana	14.348.957-4
Gabriela	Gallardo	11.642.315-4
Micaela	Escobar	8.361.092-1
Agustin	Thompson	19.213.911-2
Emiliano	Garcia	21.906.325-3
Bruno	Figueroa	5.390.168-9
Francisco	Bravo	5.854.618-6
Ian	Riquelme	14.285.485-6
Diego Alejandro	Medina	15.609.020-4
Gabriel	Martinez	17.797.501-k
Arthur	Molina	10.656.436-1
Leonardo	Wilson	17.387.215-1
Manuela	Diaz	21.973.484-k
Micaela	Aguilera	17.828.291-3
Hannah	Alvarez	20.494.227-7
Vicente	Martinez	9.848.140-k
Juan	Saez	6.893.965-8
Patricia	Lopez	20.469.260-2
Miguel	Ortiz	17.572.818-k
Amanda	Gallardo	19.514.321-8
Milagros	Ortiz	21.175.788-4
Ariana	Espinoza	10.478.206-k
Luis	Herrera	13.650.768-k
Dylan	Ruiz	10.606.913-1
Miguel	Tapia	11.998.074-7
Amanda	Tapia	15.298.466-9
Lucas	Flores	20.375.206-7
Milagros	Campbell	21.142.009-k
Charles	Castillo	16.600.092-k
Tomas	Romero	8.253.810-k
Samantha	Araya	14.988.369-k
Renata	Smith	5.268.747-k
Lily	Wilson	13.498.565-8
Juan	Farias	5.014.395-3
Ariana	Medina	15.287.295-k
Giovanna	Flores	10.626.701-4
Felipe	Bustamante	13.930.978-2
Maria	Araya	6.622.930-k
Lautaro	Ruiz	14.780.837-2
Sophie	Olivares	13.487.703-k
Pedro	Jimenez	8.061.669-4
Mary	Brown	6.831.878-5
Sofia	Aravena	20.887.715-1
Mia	Lee	11.121.202-3
Tomas	Olivares	20.390.005-8
Isidora	Toro	5.286.146-2
Milagros	Wilson	8.970.990-3
Julia	Martinez	6.238.065-9
Maria	Molina	15.528.735-7
Leonardo	Paredes	11.948.367-k
Lautaro	Espinoza	11.825.877-k
Emily	Carrasco	15.239.427-6
Agustin	Contreras	13.047.028-9
Nicole	Paredes	10.372.201-2
Renata	Araya	17.958.201-5
Florencia	Carrasco	21.959.125-k
Martina	Jones	7.476.629-3
Barbara	Sandoval	20.231.080-k
Fernanda	Sanhueza	14.441.666-k
Dylan	Wong	10.930.201-5
Isidora	Donoso	7.595.362-3
Sofia	Guerrero	19.716.299-6
